Finchtyp,Finmhfue,sysage,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,winterefficiency,summerefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear,storageheatertype
Room heaters,Gas - Mains,more than 12 years,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,50,50,room_heater,openflue,mains_gas,FALSE,,
Room heaters,Gas - Mains,missing,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,50,50,room_heater,openflue,mains_gas,FALSE,,
Room heaters,Gas - Mains,less than 3 years,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,63,63,room_heater,openflue,mains_gas,FALSE,,
Room heaters,Gas - Mains,3-12 years,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,63,63,room_heater,openflue,mains_gas,FALSE,,
Room heaters,Gas - Bulk/LPG,more than 12 years,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,50,50,room_heater,openflue,bulk_lpg,FALSE,,
Room heaters,Gas - Bulk/LPG,missing,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,50,50,room_heater,openflue,bulk_lpg,FALSE,,
Room heaters,Gas - Bulk/LPG,less than 3 years,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,63,63,room_heater,openflue,bulk_lpg,FALSE,,
Room heaters,Gas - Bulk/LPG,3-12 years,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,63,63,room_heater,openflue,bulk_lpg,FALSE,,
Room heaters,Gas - bottled,more than 12 years,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,50,50,room_heater,openflue,bottled_lpg,FALSE,,
Room heaters,Gas - bottled,missing,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,50,50,room_heater,openflue,bottled_lpg,FALSE,,
Room heaters,Gas - bottled,less than 3 years,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,63,63,room_heater,openflue,bottled_lpg,FALSE,,
Room heaters,Gas - bottled,3-12 years,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,63,63,room_heater,openflue,bottled_lpg,FALSE,,
