Finchtyp,Finmhfue,sysage,Finmhboi,Heating System Type,HeatCode,winterefficiency,summerefficiency,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear,storageheatertype
Central heating (wet with rads),Gas - Mains,more than 12 years,Back boiler,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,more than 12 years,Combination,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Combi",112,71,62,71,combi,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,more than 12 years,Combined primary storage unit,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,more than 12 years,Condensing,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing",114,84,74,84,standard,fanassistedbalancedflue,mains_gas,TRUE,,
Central heating (wet with rads),Gas - Mains,more than 12 years,Condensing combi,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing combi",113,84,75,84,combi,fanassistedbalancedflue,mains_gas,TRUE,,
Central heating (wet with rads),Gas - Mains,more than 12 years,Standard,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, 1979 to 1997",117,66,56,66,standard,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,missing,Back boiler,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,missing,Combination,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Combi",112,71,62,71,combi,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,missing,Combined primary storage unit,Combined Primary Storage Units (CPSU) (mains gas and LPG) With automatic ignition (non-condensing),120,74,72,74,cpsu,balancedflue,mains_gas,FALSE,,
Central heating (wet with rads),Gas - Mains,missing,Condensing,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing",114,84,74,84,standard,fanassistedbalancedflue,mains_gas,TRUE,,
Central heating (wet with rads),Gas - Mains,missing,Condensing combi,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing combi",113,84,75,84,combi,fanassistedbalancedflue,mains_gas,TRUE,,
Central heating (wet with rads),Gas - Mains,missing,Standard,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, 1979 to 1997",117,66,56,66,standard,balancedflue,mains_gas,FALSE,,
