hrpwk,Type,ASHE_dcode,ASHE_code,Year2008,Year2012,change.2008.2012
1,MFT,1,10,287,301,1.048780488
1,MFT,2,20,351,364,1.037037037
1,MFT,3,25,379,394,1.039577836
1,MFT,4,30,407,422,1.036855037
1,MFT,5,40,466,483,1.036480687
1,MFT,6,60,599,625,1.043405676
1,MFT,7,70,689,718,1.042089985
1,MFT,8,75,743,778,1.047106326
1,MFT,9,80,813,853,1.049200492
1,MFT,10,90,1078,1124,1.042671614
2,MPT,1,10,50,46,0.92
2,MPT,2,20,82,80,0.975609756
2,MPT,3,25,95,95,1
2,MPT,4,30,106,107,1.009433962
2,MPT,5,40,134,134,1
2,MPT,6,60,198,193,0.974747475
2,MPT,7,70,249,236,0.947791165
2,MPT,8,75,284,266,0.936619718
2,MPT,9,80,324,307,0.947530864
2,MPT,10,90,498,467,0.937751004
3,FFT,1,10,231,251,1.086580087
3,FFT,2,20,279,301,1.078853047
3,FFT,3,25,298,323,1.083892617
3,FFT,4,30,318,345,1.08490566
3,FFT,5,40,361,390,1.08033241
3,FFT,6,60,473,508,1.073995772
3,FFT,7,70,546,585,1.071428571
3,FFT,8,75,589,631,1.071307301
3,FFT,9,80,636,684,1.075471698
3,FFT,10,90,772,839,1.086787565
4,FPT,1,10,52,55,1.057692308
4,FPT,2,20,86,92,1.069767442
4,FPT,3,25,98,104,1.06122449
4,FPT,4,30,110,117,1.063636364
4,FPT,5,40,134,141,1.052238806
4,FPT,6,60,183,195,1.06557377
4,FPT,7,70,216,230,1.064814815
4,FPT,8,75,237,254,1.071729958
4,FPT,9,80,265,286,1.079245283
4,FPT,10,90,357,395,1.106442577
0,,1,10,,,1.123704485
0,,2,20,,,1.123704485
0,,3,25,,,1.123704485
0,,4,30,,,1.123704485
0,,5,40,,,1.123704485
0,,6,60,,,1.123704485
0,,7,70,,,1.123704485
0,,8,75,,,1.123704485
0,,9,80,,,1.123704485
0,,10,90,,,1.123704485
