M2,M5,M6,M7,M8,Heating System Type,HeatCode_4a,winterefficiency,summerefficiency,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Boiler,Gas (mains),1998+,Standard,Fan assisted,Gas boilers (including LPG) 1998 or later: Regular non-condensing with automatic ignition,101,74,64,74,standard,fanassistedbalancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Condensing standard,Fan assisted,Gas boilers (including LPG) 1998 or later: Regular condensing with automatic ignition,102,84,74,84,standard,fanassistedbalancedflue,mains_gas,TRUE,2005
Boiler,Gas (mains),1998+,Combi,Fan assisted,Gas boilers (including LPG) 1998 or later: Non-condensing combi with automatic ignition,103,74,65,74,combi,fanassistedbalancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Condensing Combi,Fan assisted,Gas boilers (including LPG) 1998 or later: Condensing combi with automatic ignition,104,84,75,84,combi,fanassistedbalancedflue,mains_gas,TRUE,2005
Boiler,Gas (mains),1998+,Back Boiler,Fan assisted,Gas boilers (including LPG) 1998 or later: Back boiler to radiators,109,66,56,66,back_boiler,fanassistedbalancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Standard,Balanced,Gas boilers (including LPG) 1998 or later: Regular non-condensing with permanent pilot light,105,70,60,70,standard,balancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Condensing standard,Balanced,Gas boilers (including LPG) 1998 or later: Regular condensing with permanent pilot light,106,80,70,80,standard,balancedflue,mains_gas,TRUE,2005
Boiler,Gas (mains),1998+,Combi,Balanced,Gas boilers (including LPG) 1998 or later: Non-condensing combi with permanent pilot light,107,70,61,70,combi,balancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Condensing Combi,Balanced,Gas boilers (including LPG) 1998 or later: Condensing combi with permanent pilot light,108,80,71,80,combi,balancedflue,mains_gas,TRUE,2005
Boiler,Gas (mains),1998+,Back Boiler,Balanced,Gas boilers (including LPG) 1998 or later: Back boiler to radiators,109,66,56,66,back_boiler,balancedflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Standard,Open,Gas boilers (including LPG) 1998 or later: Regular non-condensing with permanent pilot light,105,70,60,70,standard,openflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Condensing standard,Open,Gas boilers (including LPG) 1998 or later: Regular condensing with permanent pilot light,106,80,70,80,standard,openflue,mains_gas,TRUE,2005
Boiler,Gas (mains),1998+,Combi,Open,Gas boilers (including LPG) 1998 or later: Non-condensing combi with permanent pilot light,107,70,61,70,combi,openflue,mains_gas,FALSE,2005
Boiler,Gas (mains),1998+,Condensing Combi,Open,Gas boilers (including LPG) 1998 or later: Condensing combi with permanent pilot light,108,80,71,80,combi,openflue,mains_gas,TRUE,2005
Boiler,Gas (mains),1998+,Back Boiler,Open,Gas boilers (including LPG) 1998 or later: Back boiler to radiators,109,66,56,66,back_boiler,openflue,mains_gas,FALSE,2005
Boiler,Gas (mains),pre 1998,Combi,Fan assisted,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Combi",112,71,62,71,combi,fanassistedbalancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,Condensing Combi,Fan assisted,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing combi",113,84,75,84,combi,fanassistedbalancedflue,mains_gas,TRUE,1995
Boiler,Gas (mains),pre 1998,Condensing standard,Fan assisted,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing",114,84,74,84,standard,fanassistedbalancedflue,mains_gas,TRUE,1995
Boiler,Gas (mains),pre 1998,Standard,Fan assisted,"Gas boilers (including LPG) pre-1998, with fan-assisted flue High or unknown thermal capacity",111,69,59,69,standard,fanassistedbalancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,Back Boiler,Fan assisted,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,fanassistedbalancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,Back Boiler,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,Combi,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Combi",118,66,57,66,combi,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,Condensing Combi,Balanced,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing combi",113,84,75,84,combi,balancedflue,mains_gas,TRUE,1995
Boiler,Gas (mains),pre 1998,Condensing standard,Balanced,"Gas boilers (including LPG) pre-1998, with fan-assisted flue Condensing",114,84,74,84,standard,balancedflue,mains_gas,TRUE,1995
Boiler,Gas (mains),pre 1998,Standard,Balanced,"Gas boilers (including LPG) pre-1998, with balanced or open flue Floor mounted, 1979 to 1997",117,66,56,66,standard,balancedflue,mains_gas,FALSE,1995
Boiler,Gas (mains),pre 1998,Back Boiler,Open,"Gas boilers (including LPG) pre-1998, with balanced or open flue Back boiler to radiators",119,66,56,66,back_boiler,openflue,mains_gas,FALSE,1995
