M2,M5,M14,M6,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Room heater,Gas (mains),Gas fire,old system,Room heater,"Gas fire, open flue, pre-1980 (open fronted)",OF,50,1,1,601,rd,0,50,room_heater,openflue,mains_gas,FALSE,1985
Room heater,Gas (mains),Gas fire,1998+,Room heater,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,room_heater,openflue,mains_gas,FALSE,2005
Room heater,Gas (mains),Gas fire,pre 1998,Room heater,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,1,1,603,rd,0,63,room_heater,openflue,mains_gas,FALSE,1995
Room heater,Gas (mains),"Coal effect fire, flued",old system,Room heater,"Flush fitting Live Fuel Effect gas fire (open fronted), sealed to fireplace opening",OF,40,1,1,605,rd,0,40,room_heater,openflue,mains_gas,FALSE,1985
Room heater,Gas (mains),Balanced,old system,Room heater,"Gas fire or wall heater, balanced flue",BF,58,1,1,609,rd,0,58,room_heater,balancedflue,mains_gas,FALSE,1985
Room heater,Gas (mains),Closed,old system,Room heater,"Gas fire, closed fronted, fan assisted",BF,72,1,1,610,rd,0,72,room_heater,balancedflue,mains_gas,FALSE,1985
Room heater,Gas (mains),Condensing,old system,Room heater,Condensing gas fire,BF,85,1,1,611,rd,0,85,room_heater,balancedflue,mains_gas,FALSE,1985
Room heater,Gas (mains),Decorative,old system,Room heater,"Decorative Fuel Effect gas fire, open to chimney",C,20,1,1,612,rd,0,20,room_heater,chimney,mains_gas,FALSE,1985
Room heater,Gas (mains),Flueless,old system,Room heater,"Flueless gas fire, secondary heating only",none,90,1,1,613,rd,0,90,room_heater,notapplicable,mains_gas,FALSE,1985
Room heater,Gas (mains),"Coal effect fire, flued",1998+,Room heater,"Flush fitting Live Fuel Effect gas fire (open fronted), sealed to fireplace opening",OF,40,1,1,605,rd,0,40,room_heater,openflue,mains_gas,FALSE,2005
Room heater,Gas (mains),Balanced,1998+,Room heater,"Gas fire or wall heater, balanced flue",BF,58,1,1,609,rd,0,58,room_heater,balancedflue,mains_gas,FALSE,2005
Room heater,Gas (mains),Closed,1998+,Room heater,"Gas fire, closed fronted, fan assisted",BF,72,1,1,610,rd,0,72,room_heater,balancedflue,mains_gas,FALSE,2005
Room heater,Gas (mains),Condensing,1998+,Room heater,Condensing gas fire,BF,85,1,1,611,rd,0,85,room_heater,balancedflue,mains_gas,FALSE,2005
Room heater,Gas (mains),Decorative,1998+,Room heater,"Decorative Fuel Effect gas fire, open to chimney",C,20,1,1,612,rd,0,20,room_heater,chimney,mains_gas,FALSE,2005
Room heater,Gas (mains),Flueless,1998+,Room heater,"Flueless gas fire, secondary heating only",none,90,1,1,613,rd,0,90,room_heater,notapplicable,mains_gas,FALSE,2005
Room heater,Gas (mains),"Coal effect fire, flued",pre 1998,Room heater,"Flush fitting Live Fuel Effect gas fire (open fronted), sealed to fireplace opening",OF,40,1,1,605,rd,0,40,room_heater,openflue,mains_gas,FALSE,1995
Room heater,Gas (mains),Balanced,pre 1998,Room heater,"Gas fire or wall heater, balanced flue",BF,58,1,1,609,rd,0,58,room_heater,balancedflue,mains_gas,FALSE,1995
