M2,M5,M9,M15,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing
Boiler,House coal,Yes,Man feed boiler,Solid fuel boiler,Manual feed independent boiler in heated space,,60,2,0.75,151,rd,0,60,standard,balancedflue,house_coal,FALSE
Boiler,House coal,No,Man feed boiler,Solid fuel boiler,Manual feed independent boiler in unheated space,,55,2,0.75,152,,0,55,standard,balancedflue,house_coal,FALSE
Boiler,House coal,Yes,Auto feed boiler,Solid fuel boiler,Auto (gravity) feed independent boiler in heated space,,65,2,0.75,153,,0,65,standard,balancedflue,house_coal,FALSE
Boiler,House coal,No,Auto feed boiler,Solid fuel boiler,Auto (gravity) feed independent boiler in unheated space,,60,2,0.75,154,rd,0,60,standard,balancedflue,house_coal,FALSE
Boiler,House coal,Yes,Open fire,Solid fuel boiler,Open fire with back boiler to radiators,,55,3,0.5,156,rd,0,55,back_boiler,openflue,house_coal,FALSE
Boiler,House coal,Yes,Closed fire,Solid fuel boiler,Closed roomheater with boiler to radiators,,65,3,0.5,158,rd,0,65,standard,balancedflue,house_coal,FALSE
Boiler,House coal,No,Open fire,Solid fuel boiler,Open fire with back boiler to radiators,,55,3,0.5,156,rd,0,55,back_boiler,openflue,house_coal,FALSE
Boiler,House coal,No,Closed fire,Solid fuel boiler,Closed roomheater with boiler to radiators,,65,3,0.5,158,rd,0,65,standard,balancedflue,house_coal,FALSE
Boiler,House coal,Yes,Range cooker (no oven),Solid fuel boiler,Range cooker boiler (integral oven and boiler),,45,3,0.5,160,rd,0,45,standard,balancedflue,house_coal,FALSE
Boiler,House coal,Yes,Range cooker (with oven),Solid fuel boiler,Range cooker boiler (independent oven and boiler),,55,3,0.5,161,,0,55,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,Yes,Man feed boiler,Solid fuel boiler,Manual feed independent boiler in heated space,,60,2,0.75,151,rd,0,60,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,No,Man feed boiler,Solid fuel boiler,Manual feed independent boiler in unheated space,,55,2,0.75,152,,0,55,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,Yes,Auto feed boiler,Solid fuel boiler,Auto (gravity) feed independent boiler in heated space,,65,2,0.75,153,,0,65,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,No,Auto feed boiler,Solid fuel boiler,Auto (gravity) feed independent boiler in unheated space,,60,2,0.75,154,rd,0,60,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,Yes,Open fire,Solid fuel boiler,Open fire with back boiler to radiators,,55,3,0.5,156,rd,0,55,back_boiler,openflue,house_coal,FALSE
Boiler,Smokeless fuel,Yes,Closed fire,Solid fuel boiler,Closed roomheater with boiler to radiators,,65,3,0.5,158,rd,0,65,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,No,Open fire,Solid fuel boiler,Open fire with back boiler to radiators,,55,3,0.5,156,rd,0,55,back_boiler,openflue,house_coal,FALSE
Boiler,Smokeless fuel,No,Closed fire,Solid fuel boiler,Closed roomheater with boiler to radiators,,65,3,0.5,158,rd,0,65,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,Yes,Range cooker (no oven),Solid fuel boiler,Range cooker boiler (integral oven and boiler),,45,3,0.5,160,rd,0,45,standard,balancedflue,house_coal,FALSE
Boiler,Smokeless fuel,Yes,Range cooker (with oven),Solid fuel boiler,Range cooker boiler (independent oven and boiler),,55,3,0.5,161,,0,55,standard,balancedflue,house_coal,FALSE
Boiler,Antracite nuts and grain,Yes,Man feed boiler,Solid fuel boiler,Manual feed independent boiler in heated space,,60,2,0.75,151,rd,0,60,standard,balancedflue,house_coal,FALSE
Boiler,Antracite nuts and grain,No,Man feed boiler,Solid fuel boiler,Manual feed independent boiler in unheated space,,55,2,0.75,152,,0,55,standard,balancedflue,house_coal,FALSE
Boiler,Antracite nuts and grain,Yes,Auto feed boiler,Solid fuel boiler,Auto (gravity) feed independent boiler in heated space,,65,2,0.75,153,,0,65,standard,balancedflue,house_coal,FALSE
Boiler,Antracite nuts and grain,No,Auto feed boiler,Solid fuel boiler,Auto (gravity) feed independent boiler in unheated space,,60,2,0.75,154,rd,0,60,standard,balancedflue,house_coal,FALSE
