M2,M5,M12,M6,M8,Heating System Type,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,spaceheatingsystemtype,fluetype,mainheatingfuel,iscondensing,installationyear
Warm air system,Gas (mains),Ducted on/off,old system,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Gas (mains),Ducted on/off,pre 1998,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, pre 1998",,70,1,1,501,,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Gas (mains),Ducted on/off,1998+,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, on-off control, 1998 or later",,76,1,1,502,rd,0,76,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Gas (mains),Modulating,old system,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, pre 1998",,72,1,1,503,,0,72,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Gas (mains),Modulating,pre 1998,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, pre 1998",,72,1,1,503,,0,72,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Gas (mains),Modulating,1998+,Fan assisted,Warm air system,"Gas-fired warm air with fan-assisted flue, Ducted, modulating control, 1998 or later",,78,1,1,504,,0,78,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Gas (mains),Stub ducted on/off,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Gas (mains),Stub ducted on/off,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Gas (mains),Stub ducted on/off,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Gas (mains),Flue recovery,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1985
Warm air system,Gas (mains),Flue recovery,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,1995
Warm air system,Gas (mains),Flue recovery,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted with flue heat recovery",,85,1,1,510,rd,0,85,warm_air,fanassistedbalancedflue,mains_gas,FALSE,2005
Warm air system,Gas (mains),Condensing,old system,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,1985
Warm air system,Gas (mains),Condensing,pre 1998,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,1995
Warm air system,Gas (mains),Condensing,1998+,Fan assisted,Warm air system,"Gas fired warm air with balanced or open flue, Condensing",,81,1,1,511,rd,0,81,warm_air,fanassistedbalancedflue,mains_gas,TRUE,2005
Warm air system,Gas (mains),Ducted on/off,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Gas (mains),Ducted on/off,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Gas (mains),Ducted on/off,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,balancedflue,mains_gas,FALSE,2005
Warm air system,Gas (mains),Stub ducted on/off,old system,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1985
Warm air system,Gas (mains),Stub ducted on/off,pre 1998,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, pre 1998",,70,1,1,506,rd,0,70,warm_air,balancedflue,mains_gas,FALSE,1995
Warm air system,Gas (mains),Stub ducted on/off,1998+,Balanced,Warm air system,"Gas fired warm air with balanced or open flue, Ducted or stub-ducted, on-off control, 1998 or later",,76,1,1,507,,0,76,warm_air,balancedflue,mains_gas,FALSE,2005
