M18,M17,Heating System,Flue,Efficiency,Heating_type,Responsiveness(R),HeatCode_4a,Rd_SAP,Tariff,basicefficiency,waterheatingsystemtype,fluetype,mainheatingfuel,immersionheatertype
Peak electric,Elec immersion,HOT WATER SYSTEMS: Electric immersion,,100,,,903,rd,0,100,,notapplicable,electricity,single_coil
Off-peak electric,Elec immersion,HOT WATER SYSTEMS: Electric immersion,,100,,,903,rd,1,100,,notapplicable,electricity,dual_coil
Gas (mains),Instant (single-point),HOT WATER SYSTEMS: Single-point gas water heater (instantaneous at point of use),,70,,,907,rd,0,70,singlepoint,,mains_gas,
Bulk LPG,Instant (single-point),HOT WATER SYSTEMS: Single-point gas water heater (instantaneous at point of use),,70,,,907,rd,1,70,singlepoint,,bulk_lpg,
Bottled gas,Instant (single-point),HOT WATER SYSTEMS: Single-point gas water heater (instantaneous at point of use),,70,,,907,rd,2,70,singlepoint,,bottled_lpg,
Gas (mains),Instant (multi-point),HOT WATER SYSTEMS: Multi-point gas water heater (instantaneous serving several taps),,65,,,908,rd,0,65,multipoint,,mains_gas,
Bulk LPG,Instant (multi-point),HOT WATER SYSTEMS: Multi-point gas water heater (instantaneous serving several taps),,65,,,908,rd,1,65,multipoint,,bulk_lpg,
Bottled gas,Instant (multi-point),HOT WATER SYSTEMS: Multi-point gas water heater (instantaneous serving several taps),,65,,,908,rd,2,65,multipoint,,bottled_lpg,
Peak electric,Instant (single-point),HOT WATER SYSTEMS: Electric instantaneous at point of use,,100,,,909,rd,0,100,singlepoint,notapplicable,electricity,
Peak electric,Instant (multi-point),HOT WATER SYSTEMS: Electric instantaneous at point of use,,100,,,909,rd,1,100,multipoint,notapplicable,electricity,
Off-peak electric,Instant (single-point),HOT WATER SYSTEMS: Electric instantaneous at point of use,,100,,,909,rd,2,100,singlepoint,notapplicable,electricity,
Off-peak electric,Instant (multi-point),HOT WATER SYSTEMS: Electric instantaneous at point of use,,100,,,909,rd,3,100,multipoint,notapplicable,electricity,
Gas (mains),Other,HOT WATER SYSTEMS: Gas boiler/circulator for water heating only,,65,,,911,,0,65,standard_boiler,,mains_gas,
Bulk LPG,Other,HOT WATER SYSTEMS: Gas boiler/circulator for water heating only,,65,,,911,,0,65,standard_boiler,,bulk_lpg,
Bottled gas,Other,HOT WATER SYSTEMS: Gas boiler/circulator for water heating only,,65,,,911,,0,65,standard_boiler,,bottled_lpg,
Oil,Other,HOT WATER SYSTEMS: Oil boiler/circulator for water heating only,,70,,,912,,0,70,standard_boiler,,oil,
House coal,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,house_coal,
Smokeless fuel,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,house_coal,
Antracite nuts and grain,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,house_coal,
Wood chips,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,biomass_woodchip,
Wood logs,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,biomass_wood,
Wood pellets,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,biomass_pellets,
Dual fuel,Other,HOT WATER SYSTEMS: Solid fuel boiler/circulator for water heating only,,55,,,913,,0,55,standard_boiler,,house_coal,
Gas (mains),Kitchen range,"HOT WATER SYSTEMS: Range Cooker, gas single burner with permanent pilot",,46,,,921,,0,46,standard_boiler,,mains_gas,
Bulk LPG,Kitchen range,"HOT WATER SYSTEMS: Range Cooker, gas single burner with permanent pilot",,46,,,921,,0,46,standard_boiler,,bulk_lpg,
