aacode,manufacturer,brand,model,qualifier,boilertype,fueltype,fluetype,condensing,annualefficiency,winterefficiency,summerefficiency,storeboilervolume,storesolarvolume,storeinsulationthickness,row
J0011101,hepworth heating,glow-worm,30cxi,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.5,89.4,79.3,0.0,0.0,0.0,2336
J0011202,ideal boilers,ideal,isar,he24,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.7,89.6,79.5,0.0,0.0,0.0,2571
J0012105,hepworth heating,glow-worm,30cxi,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,88.5,89.4,79.3,0.0,0.0,0.0,2336
J0013204,potterton international heating,potterton international heating,kingfisher,cf150,REGULAR,MAINS_GAS,OPEN_FLUE,false,65.0,66.0,56.0,0.0,0.0,0.0,593
J0013207,baxi uk,baxi,solo 3 pfl,50,REGULAR,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.0,78.9,68.8,0.0,0.0,0.0,1662
J0014104,worcester heat systems,worcester,heat slave,15/19.oso,STORAGE_COMBI,OIL,FAN_ASSISTED_BALANCED_FLUE,false,83.7,84.6,76.5,46.0,0.0,25.0,5020
J0021104,baxi potterton,baxi,combi,instant 105 he,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,86.4,87.3,77.2,0.0,0.0,0.0,1542
J0021105,baxi spa,baxi,combi,105 e,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,78.5,79.4,69.3,0.0,0.0,0.0,3235
J0021106,baxi potterton,baxi,combi,100 he plus,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.4,90.3,80.2,0.0,0.0,0.0,1224
J0021201,ferroli,ferroli,optimax he plus,31 c,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,89.9,79.8,0.0,0.0,0.0,2208
J0021203,viessmann,viessmann,vitodens 100 combi,wb1a 24kw,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,true,89.0,89.9,79.8,0.0,0.0,0.0,2720
J0022101,chaffoteaux et maury,chaffoteaux et maury,britony combi 80,,INSTANT_COMBI,MAINS_GAS,FAN_ASSISTED_BALANCED_FLUE,false,76.6,77.5,67.4,0.0,0.0,0.0,922
J0022208,grant engineering,grant,outdoor,combi mk ii,INSTANT_COMBI,OIL,FAN_ASSISTED_BALANCED_FLUE,false,83.9,84.9,75.4,0.0,0.0,0.0,4968
