"","aacode","welshId","usedColumns"
"1","k4016105","1","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype housingassociation; numofbedrooms (1.5,2.5]"
"2","j0511201","2","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; householdincomebeforetax (1.62e+04,1.8e+04]"
"3","j1164303","3","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1950,1955]; morphologytype urban; tenuretype localauthority; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; insulationthickness (225,275]"
"4","j0393203","4","builtformtype purposebuiltlowriseflat; mainheatingfuel mains_gas; buildyear (1945,1950]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; children [-0.5,0.5]; hasdisabledorsickoccupant TRUE"
"5","k8040712","5","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone"
"6","k3017824","6","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (138,175]"
"7","j1531407","7","builtformtype detached; mainheatingfuel mains_gas; buildyear [1170,1882]; morphologytype urban; tenuretype privaterented; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"8","k6157105","7","builtformtype detached; mainheatingfuel mains_gas; buildyear [1170,1882]; morphologytype urban; tenuretype privaterented; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"9","j1212106","8","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype sandstone; insulationthickness (138,175]"
"10","k8040712","9","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone"
"11","j1564404","10","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1962,1965]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; insulationthickness (175,225]"
"12","k6027908","11","builtformtype midterrace; mainheatingfuel house_coal; buildyear (1882,1900]"
"13","j1572303","12","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; insulationthickness (87.5,112]"
"14","j1093209","13","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype localauthority; numofbedrooms (0.5,1.5]"
"15","j1191315","14","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; children (2.5,3.5]"
"16","j1244405","15","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype sandstone; insulationthickness (87.5,112]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"17","k7100919","15","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype sandstone; insulationthickness (87.5,112]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"18","k8033825","16","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; children (0.5,1.5]"
"19","j1163204","17","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; insulationthickness (138,175]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"20","k2099422","17","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; insulationthickness (138,175]; children [-0.5,0.5]; hasdisabledorsickoccupant FALSE"
"21","j0944307","18","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1920,1935]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (225,275]; children [-0.5,0.5]"
"22","j0713401","19","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1950,1955]; morphologytype urban; tenuretype localauthority; numofbedrooms (2.5,3.5]; externalwallconstructiontype systembuild"
"23","j1063103","20","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype townandfringe; tenuretype localauthority"
"24","k8009518","21","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype privaterented; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone; children [-0.5,0.5]"
"25","j0104204","22","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]"
"26","k8019319","22","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype cavity; insulationthickness (87.5,112]"
"27","j0274206","23","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype village; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; insulationthickness (87.5,112]"
"28","k4102605","24","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype townandfringe; tenuretype owneroccupied"
"29","j1491305","25","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1970,1975]; morphologytype townandfringe; numofbedrooms (2.5,3.5]; insulationthickness (275,325]"
"30","k5120706","26","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype townandfringe; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; insulationthickness (275,325]; children [-0.5,0.5]"
"31","k7030912","26","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1965,1970]; morphologytype townandfringe; numofbedrooms (1.5,2.5]; externalwallconstructiontype cavity; insulationthickness (275,325]; children [-0.5,0.5]"
"32","j0663408","27","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype hamletsandisolateddwellings; externalwallconstructiontype sandstone"
"33","j1503101","28","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (1.5,2.5]; externalwallconstructiontype sandstone"
"34","j0311303","29","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype graniteorwhinstone; insulationthickness [-17.5,12.5]; hasdisabledorsickoccupant TRUE"
"35","j1153211","29","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype graniteorwhinstone; insulationthickness [-17.5,12.5]; hasdisabledorsickoccupant TRUE"
"36","k8040712","30","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone"
"37","k8005227","31","builtformtype midterrace; mainheatingfuel mains_gas; buildyear (1900,1920]; morphologytype townandfringe; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; insulationthickness (275,325]"
"38","k3127912","32","builtformtype semidetached; mainheatingfuel mains_gas; buildyear (1955,1962]; morphologytype urban; tenuretype localauthority; numofbedrooms (2.5,3.5]; insulationthickness (225,275]"
"39","k8040712","33","builtformtype endterrace; mainheatingfuel mains_gas; buildyear (1882,1900]; morphologytype urban; tenuretype owneroccupied; numofbedrooms (2.5,3.5]; externalwallconstructiontype sandstone"
